name,guard_name,prefix
admin_list,admin,Admin
admin_create,admin,Admin
admin_edit,admin,Admin
admin_delete,admin,Admin
role_list,admin,Role
role_create,admin,Role
role_edit,admin,Role
role_delete,admin,Role
permission_list,admin,Permission
permission_create,admin,Permission
permission_edit,admin,Permission
permission_delete,admin,Permission
user_list,admin,User
user_create,admin,User
user_edit,admin,User
user_delete,admin,User
user_kyc_settings,admin,"User KYC Settings"
user_kyc_list,admin,"User KYC"
user_kyc_create,admin,"User KYC"
user_kyc_edit,admin,"User KYC"
user_kyc_delete,admin,"User KYC"
pharmacy_list,admin,Pharmacy
pharmacy_create,admin,Pharmacy
pharmacy_edit,admin,Pharmacy
pharmacy_delete,admin,Pharmacy
pharmacy_kyc_settings,admin,"User KYC Settings"
pharmacy_kyc_list,admin,"Pharmacy KYC"
pharmacy_kyc_create,admin,"Pharmacy KYC"
pharmacy_kyc_edit,admin,"Pharmacy KYC"
pharmacy_kyc_delete,admin,"Pharmacy KYC"
site_settings,admin,"Site Settings"
district_manager_list,admin,"District Manager"
district_manager_create,admin,"District Manager"
district_manager_edit,admin,"District Manager"
district_manager_delete,admin,"District Manager"
local_area_manager_list,admin,"Local Area Manager"
local_area_manager_create,admin,"Local Area Manager"
local_area_manager_edit,admin,"Local Area Manager"
local_area_manager_delete,admin,"Local Area Manager"
